,Job Title,Rating,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,hourly,employer_provided,min_salary,max_salary,avg_salary,company_txt,job_state,same_state,age,python_yn,R_yn,spark,aws,excel
10,Data Scientist,3.5,"San Jose, CA","San Francisco, CA",501 to 1000 employees,2011,Company - Private,Other Retail Stores,Retail,$1 to $2 billion (USD),-1,0,0,126,201,163.5,"Wish
", CA,0,9,1,0,0,0,0
11,Data Scientist,4.1,"Chantilly, VA","Herndon, VA",5001 to 10000 employees,1968,Company - Public,Research & Development,Business Services,$1 to $2 billion (USD),-1,0,0,64,106,85.0,"ManTech
", VA,0,52,0,0,0,0,0
12,Staff Data Scientist - Technology,3.2,"Plano, TX","Bentonville, AR",10000+ employees,1962,Company - Public,"Department, Clothing, & Shoe Stores",Retail,$10+ billion (USD),"Target, Costco Wholesale, Amazon",0,0,106,172,139.0,"Walmart
", TX,0,58,0,0,0,0,0
13,Data Analyst,4.1,"Seattle, WA","Seattle, WA",201 to 500 employees,2012,Company - Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable,-1,0,0,46,85,65.5,"Yesler
", WA,1,8,1,0,1,1,1
14,Data Scientist,3.7,"Cambridge, MA","OSAKA, Japan",10000+ employees,1781,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),"Novartis, Baxter, Pfizer",0,0,83,144,113.5,"Takeda Pharmaceuticals
", MA,0,239,1,0,1,0,0
15,Data Engineer I,3.6,"Newark, NJ","Newark, NJ",1001 to 5000 employees,1995,Subsidiary or Business Segment,Motion Picture Production & Distribution,Media,Unknown / Non-Applicable,-1,0,0,102,190,146.0,"Audible
", NJ,1,25,0,0,0,0,1
16,"Scientist I/II, Biology",3.9,"Cambridge, MA","Cambridge, MA",51 to 200 employees,2011,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $5 million (USD),"bluebird bio, Agios Pharmaceuticals, Celgene",0,0,67,137,102.0,"Blueprint Medicines
", MA,1,9,0,0,0,0,1
17,Customer Data Scientist,4.3,"Mountain View, CA","Mountain View, CA",201 to 500 employees,2011,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1,0,0,118,189,153.5,"h2o.ai
", CA,1,9,1,0,1,1,1
18,Data Scientist - Health Data Analytics,4.2,"San Francisco, CA","San Francisco, CA",51 to 200 employees,2010,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1,0,0,110,175,142.5,"Nuna
", CA,1,10,0,0,0,0,0
19,Data Scientist,4.0,"Denver, CO","Denver, CO",501 to 1000 employees,1915,Nonprofit Organization,Insurance Carriers,Insurance,$500 million to $1 billion (USD),-1,0,0,64,111,87.5,"Pinnacol Assurance
", CO,1,105,1,0,0,0,1
20,Data Scientist,3.2,"Seattle, WA","Seattle, WA",201 to 500 employees,2012,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,"Angie's List, HomeAdvisor, Thumbtack",0,0,81,130,105.5,"Porch
", WA,1,8,1,0,1,0,0
21,Senior Data Scientist / Machine Learning,3.9,"Dallas, TX","Mountain View, CA",201 to 500 employees,2013,Company - Private,Insurance Agencies & Brokerages,Insurance,Unknown / Non-Applicable,-1,0,0,73,119,96.0,"Health IQ
", TX,0,7,0,0,0,0,1
22,Data Scientist - Quantitative,3.8,"Chicago, IL","New Plymouth, ID",501 to 1000 employees,1995,Company - Private,Logistics & Supply Chain,Transportation & Logistics,Unknown / Non-Applicable,-1,0,0,86,139,112.5,"Truckstop.com
", IL,0,25,1,0,0,1,1
23,Data Scientist,4.3,"Louisville, KY","Peachtree City, GA",51 to 200 employees,1935,Nonprofit Organization,Logistics & Supply Chain,Transportation & Logistics,$10 to $25 million (USD),-1,0,0,63,105,84.0,"SMC 3
", KY,0,85,1,0,0,0,1
24,Data Scientist,4.0,"Herndon, VA","Mc Lean, VA",501 to 1000 employees,2012,Company - Private,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD),"Leidos, CACI International, Booz Allen Hamilton",0,0,109,177,143.0,"Novetta
", VA,0,8,1,0,0,1,0
25,Digital Health Data Scientist,4.0,"Cambridge, MA","New York, NY",10000+ employees,1849,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),-1,0,0,63,110,86.5,"Pfizer
", MA,0,171,1,0,0,1,1
26,Data Scientist,3.5,"Hillsboro, OR","San Jose, CA",1001 to 5000 employees,1952,Company - Private,Banks & Credit Unions,Finance,$100 to $500 million (USD),-1,0,0,75,124,99.5,"First Tech Federal Credit Union
", OR,0,68,1,0,1,1,1
27,Associate Data Analyst,3.7,"Worcester, MA","Worcester, MA",5001 to 10000 employees,1852,Company - Public,Insurance Carriers,Insurance,$5 to $10 billion (USD),-1,0,0,34,61,47.5,"The Hanover Insurance Group
", MA,1,168,0,0,0,0,1
28,Clinical Data Scientist,4.0,"Groton, CT","New York, NY",10000+ employees,1849,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),-1,0,0,63,105,84.0,"Pfizer
", CT,0,171,0,0,0,1,1
29,Data Scientist,4.8,"Clearwater, FL","Clearwater, FL",501 to 1000 employees,2010,Company - Private,Security Services,Business Services,$100 to $500 million (USD),-1,0,0,80,90,85.0,"KnowBe4
", FL,1,10,1,0,1,0,1
30,Data Scientist,3.8,"Richland, WA","Richland, WA",1001 to 5000 employees,1965,Government,Energy,"Oil, Gas, Energy & Utilities",$500 million to $1 billion (USD),"Oak Ridge National Laboratory, National Renewable Energy Lab, Los Alamos National Laboratory",0,0,56,97,76.5,"PNNL
", WA,1,55,1,0,0,0,0
31,Data Scientist,3.6,"Detroit, MI","Detroit, MI",1001 to 5000 employees,1997,Company - Private,Real Estate,Real Estate,$500 million to $1 billion (USD),-1,0,0,72,120,96.0,"Amrock
", MI,1,23,1,0,0,0,0
32,Data Scientist / Machine Learning Expert,3.8,"Cambridge, MA","Basel, Switzerland",10000+ employees,1996,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),-1,0,0,86,143,114.5,"Novartis
", MA,0,24,1,0,0,0,0
33,Data Scientist,3.8,"Sunnyvale, CA","Sunnyvale, CA",5001 to 10000 employees,1996,Company - Public,Telecommunications Services,Telecommunications,$2 to $5 billion (USD),-1,0,0,93,149,121.0,"Juniper Networks
", CA,1,24,1,0,1,0,1
34,Data Scientist,4.7,"Ipswich, MA","Ipswich, MA",201 to 500 employees,1974,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,"Thermo Fisher Scientific, Enzymatics, Illumina",0,0,85,140,112.5,"New England Biolabs
", MA,1,46,1,0,0,0,1
35,Web Data Analyst,4.2,"San Jose, CA","Chicago, IL",201 to 500 employees,2008,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,-1,0,0,77,135,106.0,"Clarity Insights
", CA,0,12,1,0,0,0,1
36,Data Scientist,3.5,"Redlands, CA","Redlands, CA",1001 to 5000 employees,1969,Company - Private,Computer Hardware & Software,Information Technology,$1 to $2 billion (USD),Pitney Bowes,0,0,82,132,107.0,"Esri
", CA,1,51,1,0,1,1,0
37,Data Scientist,4.7,"Woburn, MA","Woburn, MA",201 to 500 employees,2010,Company - Private,Aerospace & Defense,Aerospace & Defense,$100 to $500 million (USD),-1,0,0,83,137,110.0,"Systems & Technology Research
", MA,1,10,1,0,1,0,1
38,Senior Data Scientist,3.5,"Fremont, CA","Gottingen, Germany",5001 to 10000 employees,1870,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $2 billion (USD),-1,0,0,115,180,147.5,"Sartorius
", CA,0,150,1,0,0,0,1
39,Data Engineer,3.5,"Long Beach, NY","Long Beach, NY",201 to 500 employees,1985,Company - Private,Insurance Carriers,Insurance,$100 to $500 million (USD),-1,0,0,74,138,106.0,"Lancer Insurance
", NY,1,35,1,0,0,0,1
40,Data Analyst,4.2,"San Francisco, CA","San Francisco, CA",201 to 500 employees,2008,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),"BrowserStack, Selenium Master, Perfecto Mobile",0,0,64,112,88.0,"Sauce Labs
", CA,1,12,1,0,0,1,1
41,Data Engineer,3.6,"Marlborough, MA","Lowell, MA",1 to 50 employees,-1,Company - Private,-1,-1,Less than $1 million (USD),-1,0,0,68,129,98.5,"Persivia
", MA,0,-1,0,0,0,0,1
42,Data Scientist - Algorithms & Inference,4.2,"San Francisco, CA","San Francisco, CA",51 to 200 employees,2010,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1,0,0,110,175,142.5,"Nuna
", CA,1,10,0,0,0,0,0
43,Scientist,3.4,"Allendale, NJ","Shelton, CT",5001 to 10000 employees,2015,Company - Public,Consumer Products Manufacturing,Manufacturing,$2 to $5 billion (USD),"Unilever, Procter & Gamble, Henkel",0,0,52,113,82.5,"Edgewell Personal Care
", NJ,0,5,0,0,0,1,0
44,Senior Data Scientist,4.3,"Chicago, IL","Chicago, IL",1001 to 5000 employees,1993,Company - Public,Real Estate,Real Estate,$2 to $5 billion (USD),"UDR, AvalonBay Communities, Essex Property Trust",0,0,110,150,130.0,"Equity Residential
", IL,1,27,1,0,1,0,1
45,Data Scientist,5.0,"Washington, DC","Alexandria, VA",Unknown,-1,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1,0,1,150,160,155.0,"BPA Services
", DC,0,-1,0,0,0,1,1
46,Lead Data Scientist,3.7,"Bellevue, WA","Foster City, CA",10000+ employees,1958,Company - Public,IT Services,Information Technology,$10+ billion (USD),"American Express, Mastercard, Discover",0,0,158,211,184.5,"Visa Inc.
", WA,0,62,1,0,0,0,1
47,Associate Data Analyst,3.1,"Longmont, CO","Omaha, NE",5001 to 10000 employees,1986,Company - Private,Enterprise Software & Network Solutions,Information Technology,$2 to $5 billion (USD),-1,0,0,20,39,29.5,"Intrado
", CO,0,34,0,0,0,0,1
48,Spectral Scientist/Engineer,4.7,"Beavercreek, OH","Chantilly, VA",501 to 1000 employees,1999,Company - Private,Aerospace & Defense,Aerospace & Defense,$100 to $500 million (USD),"TASC, Vencore, Booz Allen Hamilton",0,0,56,117,86.5,"Centauri
", OH,0,21,0,0,0,0,0
49,College Hire - Data Scientist - Open to December 2019 Graduates,3.7,"Peoria, IL","Deerfield, IL",10000+ employees,1925,Company - Public,Industrial Manufacturing,Manufacturing,$10+ billion (USD),"John Deere, Komatsu, CNH Industrial",0,0,63,99,81.0,"Caterpillar
", IL,0,95,0,0,0,0,0
50,Data Scientist,3.8,"Fort Lauderdale, FL","Fort Lauderdale, FL",501 to 1000 employees,1984,Subsidiary or Business Segment,Advertising & Marketing,Business Services,Unknown / Non-Applicable,-1,0,0,68,114,91.0,"Zimmerman Advertising
", FL,1,36,1,0,0,0,1
51,"Data Scientist, Office of Data Science",3.3,"Boston, MA","Boston, MA",10000+ employees,1912,Company - Private,Insurance Carriers,Insurance,$10+ billion (USD),"Travelers, Allstate, State Farm",0,0,86,143,114.5,"Liberty Mutual Insurance
", MA,1,108,1,0,0,0,0
52,Data Science Analyst,4.6,"Huntsville, AL","Huntsville, AL",1001 to 5000 employees,2002,Company - Private,Aerospace & Defense,Aerospace & Defense,$100 to $500 million (USD),-1,0,0,41,95,68.0,"Torch Technologies, Inc.
", AL,1,18,1,0,0,0,1
53,Data Scientist,3.7,"Armonk, NY","Zurich, Switzerland",10000+ employees,1863,Company - Public,Insurance Agencies & Brokerages,Insurance,$10+ billion (USD),"Munich Re, Hannover RE, SCOR",0,0,86,144,115.0,"Swiss Re
", NY,0,157,1,0,0,0,1
54,Data Scientist,3.7,"San Diego, CA","Falls Church, VA",10000+ employees,1939,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD),-1,0,0,80,139,109.5,"Northrop Grumman
", CA,0,81,0,0,0,0,1
55,Data Scientist,3.5,"Albuquerque, NM","Gottingen, Germany",5001 to 10000 employees,1870,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $2 billion (USD),-1,0,0,56,95,75.5,"Sartorius
", NM,0,150,1,0,0,0,1
56,Data Scientist,4.1,"San Francisco, CA","Santa Clara, CA",501 to 1000 employees,2012,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,"Skyhigh Networks, Zscaler, NortonLifeLock",0,0,120,189,154.5,"Netskope
", CA,0,8,1,0,1,0,1
57,Data Scientist,4.7,"Saint Louis, MO","Saint Louis, MO",51 to 200 employees,2016,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,"Slalom, Daugherty Business Solutions",0,0,111,176,143.5,"1904labs
", MO,1,4,1,0,1,0,0
58,Data Scientist,4.1,"Baltimore, MD","Baltimore, MD",501 to 1000 employees,2008,Company - Private,Banks & Credit Unions,Finance,Unknown / Non-Applicable,-1,0,0,54,93,73.5,"ClearOne Advantage
", MD,1,12,0,0,0,0,1
59,Data Scientist,3.4,"Dallas, TX","Dallas, TX",201 to 500 employees,2000,Company - Public,Real Estate,Real Estate,$1 to $2 billion (USD),"Digital Realty, CoreSite, Equinix",0,0,71,119,95.0,"CyrusOne
", TX,1,20,1,0,0,1,1
60,Senior Data Scientist,4.4,"Cincinnati, OH","Cincinnati, OH",201 to 500 employees,1885,Subsidiary or Business Segment,Metals Brokers,Mining & Metals,Unknown / Non-Applicable,-1,0,0,82,132,107.0,"The David J. Joseph Company
", OH,1,135,1,0,0,1,0
61,Data Scientist,4.3,"New York, NY","New York, NY",201 to 500 employees,2011,Company - Private,Consulting,Business Services,$10 to $25 million (USD),-1,0,0,84,146,115.0,"USEReady
", NY,1,9,1,0,1,1,0
62,Senior Risk Data Scientist,3.8,"Palo Alto, CA","Palo Alto, CA",501 to 1000 employees,2006,Company - Public,Financial Transaction Processing,Finance,$50 to $100 million (USD),-1,0,0,107,172,139.5,"Bill.com
", CA,1,14,0,0,0,0,0
63,Data Scientist in Artificial Intelligence Early Career,3.8,"Richland, WA","Richland, WA",1001 to 5000 employees,1965,Government,Energy,"Oil, Gas, Energy & Utilities",$500 million to $1 billion (USD),"Oak Ridge National Laboratory, National Renewable Energy Lab, Los Alamos National Laboratory",0,0,49,85,67.0,"Pacific Northwest National Laboratory
", WA,1,55,0,0,0,0,0
64,Data Scientist,3.8,"Coraopolis, PA","Coraopolis, PA",10000+ employees,1948,Company - Public,Sporting Goods Stores,Retail,$5 to $10 billion (USD),"REI, Academy Sports + Outdoors, Cabela's",0,0,61,109,85.0,"DICK'S Sporting Goods - Corporate
", PA,1,72,1,0,0,0,0
65,Data Scientist,2.8,"Framingham, MA","Framingham, MA",51 to 200 employees,2006,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $5 million (USD),-1,0,0,88,148,118.0,"Berg Health
", MA,1,14,1,0,0,0,1
66,Data Scientist,4.7,"Atlanta, GA","Atlanta, GA",51 to 200 employees,2003,Company - Private,Computer Hardware & Software,Information Technology,$25 to $50 million (USD),-1,0,0,60,99,79.5,"Oversight Systems
", GA,1,17,1,0,0,0,1
67,Data Scientist - Research,3.1,"Boston, MA","Boston, MA",201 to 500 employees,1999,Company - Public,Advertising & Marketing,Business Services,$100 to $500 million (USD),"IDEO, Gongos, Inc., Ipsos",0,0,41,72,56.5,"C Space
", MA,1,21,1,0,0,0,0
68,Data Scientist,3.2,"Philadelphia, PA","Chadds Ford, PA",1 to 50 employees,-1,Company - Private,Staffing & Outsourcing,Business Services,$5 to $10 million (USD),-1,0,0,96,161,128.5,"Numeric, LLC
", PA,0,-1,1,0,1,1,0
69,R&D Data Analysis Scientist,4.0,"Vancouver, WA","Palo Alto, CA",10000+ employees,1939,Company - Public,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,-1,0,0,65,130,97.5,"HP Inc.
", WA,0,81,0,0,0,0,0
70,Analytics Consultant,4.4,"Indianapolis, IN","Pleasanton, CA",1 to 50 employees,2015,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1,0,0,52,81,66.5,"SpringML
", IN,0,5,1,0,0,0,0
71,"Director, Data Science",3.6,"Lake Forest, IL","Lake Forest, IL",10000+ employees,1927,Company - Public,Wholesale,Business Services,$10+ billion (USD),-1,0,0,139,220,179.5,"Grainger
", IL,1,93,1,0,0,0,1
72,Scientist,2.7,"Maryland Heights, MO","San Diego, CA",501 to 1000 employees,1978,Subsidiary or Business Segment,Research & Development,Business Services,$50 to $100 million (USD),-1,0,0,50,102,76.0,"EAG Laboratories
", MO,0,42,0,0,0,0,1
73,Data Scientist SR,3.9,"Charlottesville, VA","Reston, VA",501 to 1000 employees,2010,Company - Private,IT Services,Information Technology,$100 to $500 million (USD),"ManTech, Booz Allen Hamilton, Leidos",0,0,85,139,112.0,"The Buffalo Group
", VA,0,10,1,0,1,0,0
74,Data Scientist,3.1,"Pittsburgh, PA","Louvain-la-Neuve, Belgium",1001 to 5000 employees,1860,Company - Private,Mining,Mining & Metals,$1 to $2 billion (USD),"Lhoist, Graymont, Sibelco Group",0,0,74,122,98.0,"Carmeuse
", PA,0,160,1,0,0,0,0
75,R&D Sr Data Scientist,4.0,"Vancouver, WA","Palo Alto, CA",10000+ employees,1939,Company - Public,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,-1,0,0,99,157,128.0,"HP Inc.
", WA,0,81,0,0,1,1,0
76,Customer Data Scientist/Sales Engineer (Bay,4.3,"Mountain View, CA","Mountain View, CA",201 to 500 employees,2011,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1,0,0,79,222,150.5,"h2o.ai
", CA,1,9,1,0,1,1,1
77,Research Scientist,1.9,"Cambridge, MA","Cambridge, MA",51 to 200 employees,2000,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10 to $25 million (USD),-1,0,0,57,118,87.5,"GNS Healthcare
", MA,1,20,0,0,0,1,0
78,Data Scientist,3.3,"Chantilly, VA","Herndon, VA",1001 to 5000 employees,2017,Company - Private,Aerospace & Defense,Aerospace & Defense,$1 to $2 billion (USD),-1,0,0,83,137,110.0,"Peraton
", VA,0,3,1,0,0,0,1
79,Data Scientist,4.4,"San Jose, CA","Beijing, China",10000+ employees,1995,Company - Private,IT Services,Information Technology,$500 million to $1 billion (USD),"Infosys, EPAM, Accenture",0,0,86,141,113.5,"Pactera
", CA,0,25,1,0,0,0,1
80,Data Scientist,3.9,"San Francisco, CA","San Francisco, CA",51 to 200 employees,2016,Company - Private,Health Care Services & Hospitals,Health Care,$1 to $5 million (USD),-1,0,0,94,154,124.0,"Nurx
", CA,1,4,1,0,0,0,0
81,Jr. Business Data Analyst,4.7,"Harrisburg, PA","Harrisburg, PA",201 to 500 employees,1997,Company - Private,Advertising & Marketing,Business Services,$25 to $50 million (USD),-1,0,0,37,76,56.5,"webfx.com
", PA,1,23,0,0,0,0,1
82,Data Scientist,4.5,"Laurel, MD","Laurel, MD",5001 to 10000 employees,1942,Nonprofit Organization,Aerospace & Defense,Aerospace & Defense,$1 to $2 billion (USD),"MIT Lincoln Laboratory, Lockheed Martin, Northrop Grumman",0,0,100,160,130.0,"Johns Hopkins University Applied Physics Laboratory
", MD,1,78,1,0,0,0,1
83,Data Analyst,4.3,"Chicago, IL","Chicago, IL",51 to 200 employees,2008,Company - Private,Computer Hardware & Software,Information Technology,$10 to $25 million (USD),"Numerator, Rise Interactive, Salom",0,0,55,100,77.5,"Productive Edge
", IL,1,12,0,0,0,0,1
84,Data Engineer,4.0,"Arlington, VA","Arlington, VA",201 to 500 employees,2002,Company - Private,Consulting,Business Services,$50 to $100 million (USD),-1,0,0,60,114,87.0,"Excella Consulting
", VA,1,18,1,0,0,1,1
85,Data Analyst,4.4,"Tacoma, WA","Tacoma, WA",501 to 1000 employees,1948,Company - Private,Wholesale,Business Services,$100 to $500 million (USD),-1,0,0,39,68,53.5,"Gensco
", WA,1,72,0,0,0,0,1
86,Staff Data Scientist - Technology,3.2,"Plano, TX","Bentonville, AR",10000+ employees,1962,Company - Public,"Department, Clothing, & Shoe Stores",Retail,$10+ billion (USD),"Target, Costco Wholesale, Amazon",0,0,106,172,139.0,"Walmart
", TX,0,58,0,0,0,0,0
87,Data Scientist,3.8,"San Jose, CA","Seattle, WA",201 to 500 employees,2005,Company - Private,Consulting,Business Services,$25 to $50 million (USD),-1,0,0,86,142,114.0,"Logic20/20
", CA,0,15,1,0,1,1,1
88,Data Scientist,4.2,"Miami, FL","Miami, FL",501 to 1000 employees,2008,Company - Private,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD),-1,0,0,64,107,85.5,"goTRG
", FL,1,12,1,0,1,0,1
89,Data Management Specialist,4.5,"Huntsville, AL","Chantilly, VA",51 to 200 employees,1996,Company - Private,IT Services,Information Technology,$25 to $50 million (USD),-1,0,0,31,65,48.0,"NMR Consulting
", AL,0,24,0,0,0,0,1
90,E-Commerce Data Analyst,3.5,"New Orleans, LA","New Orleans, LA",51 to 200 employees,1999,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1,0,0,34,62,48.0,"iSeatz
", LA,1,21,0,0,0,0,1
91,Sr. Scientist II,3.5,"San Francisco, CA","San Francisco, CA",201 to 500 employees,1990,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million (USD),"Bristol-Myers Squibb, Merck, GlaxoSmithKline",0,0,117,231,174.0,"Nektar Therapeutics
", CA,1,30,0,0,0,0,1
92,Insurance Data Scientist,3.9,"Atlanta, GA","Chicago, IL",5001 to 10000 employees,1968,Company - Public,Financial Analytics & Research,Finance,$1 to $2 billion (USD),-1,0,0,64,106,85.0,"TransUnion
", GA,0,52,1,0,1,0,0
93,Data Modeler,4.7,"Landover, MD","Vienna, VA",51 to 200 employees,2003,Company - Private,IT Services,Information Technology,$10 to $25 million (USD),-1,0,0,79,134,106.5,"IT Concepts
", MD,0,17,0,0,0,0,0
94,Data Analyst / Scientist,4.2,"Patuxent River, MD","Atlanta, GA",1001 to 5000 employees,1988,Company - Private,IT Services,Information Technology,$100 to $500 million (USD),-1,0,0,52,93,72.5,"Scientific Research Corporation
", MD,0,32,0,0,0,0,1
95,Scientist,3.4,"Suitland, MD","Fairfax, VA",10000+ employees,1996,Subsidiary or Business Segment,IT Services,Information Technology,$10+ billion (USD),"SAIC, Leidos, Northrop Grumman",0,0,55,116,85.5,"General Dynamics Information Technology
", MD,0,24,0,0,0,0,0
96,Data Scientist,3.2,"McLean, VA","Bedford, MA",5001 to 10000 employees,1958,Nonprofit Organization,Federal Agencies,Government,$1 to $2 billion (USD),"Battelle, General Atomics, SAIC",0,0,72,123,97.5,"MITRE
", VA,0,62,1,0,0,0,1
97,Data Scientist,3.9,"Fort Belvoir, VA","Reston, VA",501 to 1000 employees,2010,Company - Private,IT Services,Information Technology,$100 to $500 million (USD),"ManTech, Booz Allen Hamilton, Leidos",0,0,74,124,99.0,"The Buffalo Group
", VA,0,10,1,0,0,0,1
98,Data Analyst,3.1,"Milwaukee, WI","Boston, MA",1001 to 5000 employees,2001,Company - Private,Insurance Carriers,Insurance,$2 to $5 billion (USD),"MCNA Dental Plans, United Concordia, Delta Dental Plans Association",0,0,40,73,56.5,"DentaQuest
", WI,0,19,0,0,0,0,1
99,Lead Data Scientist,4.1,"Silver Spring, MD","Silver Spring, MD",1 to 50 employees,2007,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,-1,0,0,102,164,133.0,"Redjack
", MD,1,13,1,0,0,0,0
100,Data Scientist,3.8,"New York, NY","New York, NY",51 to 200 employees,2012,Company - Private,Research & Development,Business Services,Unknown / Non-Applicable,-1,0,0,89,153,121.0,"7Park Data
", NY,1,8,1,0,1,0,0
101,Data Scientist,4.7,"Syracuse, NY","Syracuse, NY",501 to 1000 employees,1992,Company - Private,Security Services,Business Services,Unknown / Non-Applicable,"COPS Monitoring, National Monitoring Center, Affiliated Monitoring",0,0,61,110,85.5,"Rapid Response Monitoring
", NY,1,28,1,0,0,0,0
102,"Data Scientist, Rice University",4.3,"Houston, TX","New York, NY",1001 to 5000 employees,2015,Subsidiary or Business Segment,Education Training Services,Education,Unknown / Non-Applicable,"General Assembly, Kaplan University, Ironhack",0,0,65,110,87.5,"Trilogy Ed
", TX,0,5,1,0,0,0,0
103,Senior Data Scientist,4.2,"Washington, DC","Washington, DC",1001 to 5000 employees,1935,Company - Private,Consulting,Business Services,Unknown / Non-Applicable,"Advisory Board, Booz Allen Hamilton, McKinsey & Company",0,0,200,275,237.5,"Gallup
", DC,1,85,1,0,0,0,1
104,Data Engineer,3.9,"Charlotte, NC","Richmond, VA",1001 to 5000 employees,1997,Company - Private,IT Services,Information Technology,$100 to $500 million (USD),"Accenture, North Highland, Deloitte",0,0,68,123,95.5,"CapTech
", NC,0,23,1,0,1,0,0
